Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Rugby 20,PS4_b,Big Ben Interactive,EKO Software,,,,,,,,,,1/23/2020,1/17/2020,#VALUE!,,0,0,
Rugby 20,PC_b,Big Ben Interactive,EKO Software,,,,,,,,,,1/23/2020,1/17/2020,#VALUE!,,0,0,
The Walking Dead: Saints and Sinners,PC_b,Skydance Interactive,Skydance Interactive,,,,,,,,,,1/23/2020,10/5/2019,#VALUE!,,0,0,
Orn: The Tiny Forest Sprite,NS_b,FIVE12 GAMES,FIVE12 GAMES,,,,,,,,,,1/24/2020,1/16/2020,#VALUE!,,0,0,
Journey To the Savage Planet,PS4_b,505 Games,Typhoon Studios,,,,,,,,,,1/28/2020,4/11/2019,#VALUE!,,0,0,
Journey To the Savage Planet,XOne_b,505 Games,Typhoon Studios,7,,,,,,,,,1/28/2020,4/11/2019,#VALUE!,,0,0,
Journey To the Savage Planet,PC_b,505 Games,Typhoon Studios,,,,,,,,,,1/28/2020,4/11/2019,#VALUE!,,0,0,
Kentucky Route Zero: TV Edition,NS_b,Annapurna Interactive,Cardboard Computer,,,,,,,,,,1/28/2020,1/19/2018,#VALUE!,,0,0,
Kentucky Route Zero: TV Edition,XOne_b,Annapurna Interactive,Cardboard Computer,,,,,,,,,,1/28/2020,6/16/2019,#VALUE!,,0,0,
Kentucky Route Zero: TV Edition,PS4_b,Annapurna Interactive,Cardboard Computer,,,,,,,,,,1/28/2020,6/16/2019,#VALUE!,,0,0,
Pillars of Eternity II: Deadfire,PS4_b,Versus Evil,Obsidian Entertainment,,,,,,,,,,1/28/2020,10/9/2022,#VALUE!,,0,0,
Thronebreaker: The Witcher Tales,NS_b,CD Projekt Red Studio,CD Projekt Red Studio,7,,,,,,,,,1/28/2020,2/22/2020,#VALUE!,,0,0,
Lode Runner Legacy,PS4_b,Tozai Games,Tozai Games,,,,,,,,,,1/29/2020,1/16/2020,#VALUE!,,0,0,
The Pedestrian,PC_b,Skookum Arts,Skookum Arts,7,,,,,,,,,1/29/2020,2/13/2020,#VALUE!,,0,0,
Arc of Alchemist,PS4_b,Idea Factory,Compile Heart,,,,,,,,,,1/30/2020,12/30/2018,#VALUE!,,0,0,
Patapon 2 Remastered,PS4_b,Sony Interactive Entertainment,Pyramid/JAPAN Studio,,,,,,,,,,1/30/2020,4/11/2020,#VALUE!,,0,0,
Hypercharge: Unboxed,NS_b,Digital Cybercherries,Digital Cybercherries,,,,,,,,,,1/31/2020,1/17/2020,#VALUE!,,0,0,
Dawn of Fear,PS4_b,Good Game Publishing,Brok3nsite,,,,,,,,,,2/3/2020,1/22/2020,#VALUE!,,0,0,
Monster Energy Supercross - The Official Videogame 3,PC_b,Milestone S.r.l.,Milestone S.r.l.,,,,,,,,,,2/4/2020,1/28/2021,#VALUE!,,0,0,
The Dark Crystal: Age of Resistance Tactics,NS_b,En Masse Entertainment,BonusXP,,,,,,,,,,2/4/2020,6/11/2019,#VALUE!,,0,0,
The Dark Crystal: Age of Resistance Tactics,PC_b,En Masse Entertainment,BonusXP,,,,,,,,,,2/4/2020,6/11/2019,#VALUE!,,0,0,
The Dark Crystal: Age of Resistance Tactics,PS4_b,En Masse Entertainment,BonusXP,,,,,,,,,,2/4/2020,6/11/2019,#VALUE!,,0,0,
The Dark Crystal: Age of Resistance Tactics,XOne_b,En Masse Entertainment,BonusXP,,,,,,,,,,2/4/2020,6/11/2019,#VALUE!,,0,0,
Zombie Army 4: Dead War,PS4_b,Rebellion Developments,Rebellion Games,,,,,,,,,,2/4/2020,7/12/2019,#VALUE!,,0,0,
Zombie Army 4: Dead War,XOne_b,Rebellion Developments,Rebellion Games,6,,,,,,,,,2/4/2020,7/12/2019,#VALUE!,,0,0,
Zombie Army 4: Dead War,PC_b,Rebellion Developments,Rebellion Games,,,,,,,,,,2/4/2020,7/12/2019,#VALUE!,,0,0,
7th Sector,XOne_b,Sometimes You,Sergey Noskov,,,,,,,,,,2/5/2020,1/23/2020,#VALUE!,,0,0,
7th Sector,PS4_b,Sometimes You,Sergey Noskov,,,,,,,,,,2/5/2020,1/23/2020,#VALUE!,,0,0,
7th Sector,NS_b,Sometimes You,Sergey Noskov,,,,,,,,,,2/5/2020,1/23/2020,#VALUE!,,0,0,
Knights and Bikes,NS_b,Double Fine Presents,Foam Sword,,,,,,,,,,2/6/2020,1/24/2020,#VALUE!,,0,0,
Kunai,NS_b,The Arcade Crew,TurtleBlaze,7,,,,,,,,,2/6/2020,1/14/2020,#VALUE!,,0,0,
Kunai,PC_b,The Arcade Crew,TurtleBlaze,,,,,,,,,,2/6/2020,1/14/2020,#VALUE!,,0,0,
The Turing Test,NS_b,Square Enix,Bulkhead Interactive,,,,,,,,,,2/7/2020,1/27/2020,#VALUE!,,0,0,
Yakuza 5,PS4_b,Sega,Sega,,,,,,,,,,2/11/2020,4/5/2019,#VALUE!,,0,0,
Azur Lane: Crosswave,PS4_b,Idea Factory International,Felistella,,,,,,,,,,2/13/2020,5/6/2019,#VALUE!,,0,0,
Azur Lane: Crosswave,PC_b,Idea Factory International,Compile Heart,,,,,,,,,,2/13/2020,1/23/2020,#VALUE!,,0,0,
Daemon X Machina,PC_b,Xseed Games,Marvelous,,,,,,,,,,2/13/2020,2/13/2020,#VALUE!,,0,0,
Death end re;Quest 2,PS4_b,Compile Heart,Compile Heart,4,,,,,,,,,2/13/2020,1/24/2020,#VALUE!,,0,0,
Space Hunted: The Lost Levels,WiiU_b,Ultra Dolphin Revolution,Ultra Dolphin Revolution,,,,,,,,,,2/13/2020,9/20/2020,#VALUE!,,0,0,
Tannenberg,PC_b,M2H,M2H,,,,,,,,,,2/13/2020,7/2/2020,#VALUE!,,0,0,
Azur Lane: Crosswave,All_b,Idea Factory International,Felistella,,,,0.20m,,,,,,2/13/2020,2/19/2021,#VALUE!,,0,0,
Darksiders Genesis,NS_b,THQ Nordic,Airship Syndicate,,,,,,,,,,2/14/2020,6/8/2019,#VALUE!,,0,0,
Darksiders Genesis,PS4_b,THQ Nordic,Airship Syndicate,,,,,,,,,,2/14/2020,6/8/2019,#VALUE!,,0,0,
Darksiders Genesis,XOne_b,THQ Nordic,Airship Syndicate,,,,,,,,,,2/14/2020,6/8/2019,#VALUE!,,0,0,
Dreams,PS4_b,Sony Interactive Entertainment,Media Molecule,,,,,,,,,,2/14/2020,4/10/2020,#VALUE!,,0,0,
The Snack World: Trejarers Gold,NS_b,Level 5,Level 5,,,,,0.12m,,,0.12m,,2/14/2020,12/9/2019,0.12,,0.12,0.12,
Bayonetta & Vanquish 10th Anniversary Bundle,XOne_b,Sega,PlatinumGames,,,,,,,,,,2/18/2020,12/11/2019,#VALUE!,,0,0,
Bayonetta & Vanquish 10th Anniversary Bundle,PS4_b,Sega,PlatinumGames,,,,,,,,,,2/18/2020,12/11/2019,#VALUE!,,0,0,
Giraffe and Annika,PC_b,Playism,atelier mimina,,,,,,,,,,2/18/2020,1/13/2020,#VALUE!,,0,0,
Hunt: Showdown,PS4_b,Crytek,Crytek,,,,,,,,,,2/18/2020,1/20/2020,#VALUE!,,0,0,
Kingdom Hearts HD II.8 Final Chapter Prologue,XOne_b,Square,Square Enix,,,,,,,,,,2/18/2020,2/13/2020,#VALUE!,,0,0,
Granblue Fantasy Versus,PS4_b,Xseed Games,Arc System Works,8,,,0.15m,,,,,,2/18/2020,8/6/2019,#VALUE!,,0,0,
Devil May Cry 3 Special Edition,NS_b,Capcom,Capcom,8,,,,,,,,,2/20/2020,2/24/2020,#VALUE!,,0,0,
SEGA Ages Sonic the Hedgehog 2,NS_b,Sega,Sega,,,,,,,,,,2/20/2020,1/16/2020,#VALUE!,,0,0,
Dota Underlords,Linux_b,Valve,Valve,,,,,,,,,,2/25/2020,2/13/2020,#VALUE!,,0,0,
Dota Underlords,PC_b,Valve,Valve,,,,,,,,,,2/25/2020,2/13/2020,#VALUE!,,0,0,
Mega Man Zero/ZX Legacy Collection,XOne_b,Capcom,Inti Creates,,,,,,,,,,2/25/2020,10/30/2019,#VALUE!,,0,0,
Mega Man Zero/ZX Legacy Collection,PS4_b,Capcom,Inti Creates,,,,,,,,,,2/25/2020,10/30/2019,#VALUE!,,0,0,
Mega Man Zero/ZX Legacy Collection,PC_b,Capcom,Inti Creates,,,,,,,,,,2/25/2020,10/30/2019,#VALUE!,,0,0,
Mega Man Zero/ZX Legacy Collection,NS_b,Capcom,Inti Creates,,,,,,,,,,2/25/2020,10/30/2019,#VALUE!,,0,0,
Samurai Shodown,NS_b,SNK,SNK Playmore,,,,,,,,,,2/25/2020,5/4/2019,#VALUE!,,0,0,
Hero Must Die. Again,PS4_b,Degica,Pyramid,,,,,,,,,,2/26/2020,2/13/2020,#VALUE!,,0,0,
Hero Must Die. Again,PC_b,Degica,Pyramid,,,,,,,,,,2/26/2020,2/13/2020,#VALUE!,,0,0,
Hero Must Die. Again,NS_b,Degica,Pyramid,,,,,,,,,,2/27/2020,2/13/2020,#VALUE!,,0,0,
Bloodroots,NS_b,Paper Cult,Paper Cult,,,,,,,,,,2/28/2020,8/17/2021,#VALUE!,,0,0,
METRO Redux,NS_b,Deep Silver,4a-games,,,,,,,,,,2/28/2020,1/22/2020,#VALUE!,,0,0,
One Punch Man: A Hero Nobody Knows,XOne_b,Bandai Namco Entertainment,Bandai Namco Games,,,,,,,,,,2/28/2020,7/26/2019,#VALUE!,,0,0,
One Punch Man: A Hero Nobody Knows,PS4_b,Bandai Namco Entertainment,Bandai Namco Games,3,,,,,,,,,2/28/2020,7/26/2019,#VALUE!,,0,0,
One Punch Man: A Hero Nobody Knows,PC_b,Bandai Namco Entertainment,Bandai Namco Games,,,,,,,,,,2/28/2020,7/26/2019,#VALUE!,,0,0,
Romance of the Three Kingdoms XIV,All_b,Koei Tecmo,Koei,,,,0.50m,,,,,,2/28/2020,10/17/2020,#VALUE!,,0,0,
Granblue Fantasy,Series_b,Xseed Games,Cygames,,,,1.00m,,,,,,3/3/2020,4/23/2020,#VALUE!,,0,0,
Granblue Fantasy: Versus,All_b,Xseed Games,Arc System Works,,,,1.00m,,,,,,3/3/2020,11/21/2020,#VALUE!,,0,0,
7th Sector,PC_b,Sometimes You,Sergey Noskov,,,,,,,,,,3/5/2020,1/23/2020,#VALUE!,,0,0,
PokÃƒÂ©mon Mystery Dungeon: Rescue Team DX,NS_b,Nintendo,Spike Chunsoft,,,7,1.99m,,,,,,3/6/2020,8/5/2020,#VALUE!,,0,0,
Call of Duty: Warzone,XOne_b,Activision,Infinity Ward,,,,,,,,,,3/10/2020,3/28/2020,#VALUE!,,0,0,
Call of Duty: Warzone,PS4_b,Activision,Infinity Ward,,,,,,,,,,3/10/2020,3/28/2020,#VALUE!,,0,0,
Call of Duty: Warzone,PC_b,Activision,Infinity Ward,,,,,,,,,,3/10/2020,3/28/2020,#VALUE!,,0,0,
Ori and the Will of the Wisps,XOne_b,Xbox Game Studios,Moon Studios,9,,,,,,,,,3/11/2020,8/4/2020,#VALUE!,,0,0,
Ori and the Will of the Wisps,PC_b,Xbox Game Studios,Moon Studios,,,,,,,,,,3/11/2020,8/4/2020,#VALUE!,,0,0,
Bless Unleashed,XOne_b,Neowiz Corporation,Round8 Studio,,,,,,,,,,3/12/2020,9/29/2020,#VALUE!,,0,0,
Comanche,All_b,THQ Nordic,NUKKLEAR,,,,,,,,,,3/12/2020,3/27/2021,#VALUE!,,0,0,
CRYSTORLD,WiiU_b,TOYURO,TOYURO,,,,,,,,,,3/12/2020,9/16/2020,#VALUE!,,0,0,
DJ Max Respect V,PC_b,Neowiz Entertainment,Neowiz Entertainment,,,,,,,,,,3/12/2020,7/17/2023,#VALUE!,,0,0,
Winning Post 9 2020,PS4_b,Koei Tecmo,Koei Tecmo Games,,,,,,,,,,3/12/2020,12/9/2019,#VALUE!,,0,0,
Winning Post 9 2020,NS_b,Koei Tecmo,Koei Tecmo Games,,,,,,,,,,3/12/2020,12/9/2019,#VALUE!,,0,0,
Nioh 2,All_b,Sony Interactive Entertainment,Koei Tecmo Games,,,,2.50m,,,,,,3/13/2020,4/28/2021,#VALUE!,,0,0,
Nioh 2,PS4_b,Sony Interactive Entertainment,Team Ninja,,,,1.40m,,,,,,3/13/2020,5/15/2020,#VALUE!,,0,0,
My Hero OneÃ¢â‚¬â„¢s Justice 2,XOne_b,Bandai Namco Entertainment,Byking,,,,,,,,,,3/13/2020,12/6/2019,#VALUE!,,0,0,
My Hero OneÃ¢â‚¬â„¢s Justice 2,PS4_b,Bandai Namco Entertainment,Byking,6,,,,,,,,,3/13/2020,12/6/2019,#VALUE!,,0,0,
My Hero OneÃ¢â‚¬â„¢s Justice 2,NS_b,Bandai Namco Entertainment,Byking,,,,,,,,,,3/13/2020,12/6/2019,#VALUE!,,0,0,
My Hero OneÃ¢â‚¬â„¢s Justice 2,PC_b,Bandai Namco Entertainment,Byking,,,,,,,,,,3/13/2020,12/6/2019,#VALUE!,,0,0,
Exit the Gungeon,PC_b,Devolver Digital,Dodge Roll,5,,,,,,,,,3/17/2020,3/3/2020,#VALUE!,,0,0,
Exit the Gungeon,NS_b,Devolver Digital,Dodge Roll,,,,,,,,,,3/17/2020,3/28/2020,#VALUE!,,0,0,
MLB The Show 20,PS4_b,Sony Interactive Entertainment,SIE San Diego Studio,,,,,,,,,,3/17/2020,8/5/2020,#VALUE!,,0,0,
Saint Seiya: Shining Soldiers,iOS_b,Bandai Namco Entertainment,Bandai Namco Games,,,,,,,,,,3/17/2020,1/29/2020,#VALUE!,,0,0,
Saint Seiya: Shining Soldiers,And_b,Bandai Namco Entertainment,Bandai Namco Games,,,,,,,,,,3/17/2020,1/29/2020,#VALUE!,,0,0,
Teamfight Tactics,iOS_b,Riot Games,Riot Games,,,,,,,,,,3/19/2020,3/29/2020,#VALUE!,,0,0,
Teamfight Tactics,And_b,Riot Games,Riot Games,,,,,,,,,,3/19/2020,3/29/2020,#VALUE!,,0,0,
Animal Crossing: New Horizons,NS_b,Nintendo,Nintendo,8,,,42.79m,,,,,,3/20/2020,4/11/2020,#VALUE!,,0,0,
Doom 64,XOne_b,Bethesda Softworks,Nightdive Studios,,,,,,,,,,3/20/2020,1/22/2020,#VALUE!,,0,0,
Doom 64,PS4_b,Bethesda Softworks,Nightdive Studios,,,,,,,,,,3/20/2020,1/22/2020,#VALUE!,,0,0,
Doom 64,PC_b,Bethesda Softworks,Nightdive Studios,,,,,,,,,,3/20/2020,1/22/2020,#VALUE!,,0,0,
Doom 64,NS_b,Bethesda Softworks,Nightdive Studios,,,,,,,,,,3/20/2020,1/22/2020,#VALUE!,,0,0,
Doom Eternal,XOne_b,Bethesda Softworks,id Software,,,,,,,,,,3/20/2020,7/8/2019,#VALUE!,,0,0,
Doom Eternal,PS4_b,Bethesda Softworks,id Software,,,,,,,,,,3/20/2020,7/8/2019,#VALUE!,,0,0,
Doom Eternal,PC_b,Bethesda Softworks,id Software,8,,,,,,,,,3/20/2020,7/8/2019,#VALUE!,,0,0,
Half-Life: Alyx,PC_b,Valve,Valve,,,,,,,,,,3/23/2020,11/21/2019,#VALUE!,,0,0,
The Legend of Heroes: Trails of Cold Steel III,PC_b,NIS America,Nihon Falcom Corporation,,,,,,,,,,3/23/2020,1/20/2020,#VALUE!,,0,0,
Moons Of Madness,XOne_b,Funcom,Rock Pocket Ltd,5,,,,,,,,,3/24/2020,1/16/2020,#VALUE!,,0,0,
Moons Of Madness,PS4_b,Funcom,Rock Pocket Ltd,,,,,,,,,,3/24/2020,1/16/2020,#VALUE!,,0,0,
Bleeding Edge,XOne_b,Xbox Game Studios,Ninja Theory,8,,,,,,,,,3/24/2020,8/4/2020,#VALUE!,,0,0,
Bleeding Edge,PC_b,Xbox Game Studios,Ninja Theory,,,,,,,,,,3/24/2020,8/4/2020,#VALUE!,,0,0,
Good Job!,NS_b,Nintendo,Paladin Studios,,,,,,,,,,3/26/2020,7/21/2020,#VALUE!,,0,0,
Panzer Dragoon: Remake,NS_b,Forever Entertainment S.A.,MegaPixel Studio S.A.,,,,,,,,,,3/26/2020,2/18/2021,#VALUE!,,0,0,
Shinsekai: Into the Depths,NS_b,Capcom,Capcom,7,,,,,,,,,3/26/2020,4/3/2020,#VALUE!,,0,0,
Space Invaders: Invincible Collection,NS_b,Taito,Taito,,,,,,,,,,3/26/2020,1/10/2020,#VALUE!,,0,0,
Star Wars Jedi Knight: Jedi Academy,NS_b,Aspyr,Raven Software,,,,,,,,,,3/26/2020,11/8/2021,#VALUE!,,0,0,
One Piece: Pirate Warriors 4,All_b,Bandai Namco Entertainment,Omega Force,,,,2.00m,,,,,,3/27/2020,12/10/2020,#VALUE!,,0,0,
Biped,PC_b,bilibili,NEXT Studios,,,,,,,,,,3/27/2020,5/10/2020,#VALUE!,,0,0,
One Piece: Pirate Warriors 4,XOne_b,Bandai Namco Entertainment,Omega Force,,,,,,,,,,3/27/2020,7/11/2019,#VALUE!,,0,0,
One Piece: Pirate Warriors 4,PS4_b,Bandai Namco Entertainment,Omega Force,,,,,,,,,,3/27/2020,7/11/2019,#VALUE!,,0,0,
One Piece: Pirate Warriors 4,NS_b,Bandai Namco Entertainment,Omega Force,,,,,,,,,,3/27/2020,7/11/2019,#VALUE!,,0,0,
One Piece: Pirate Warriors 4,PC_b,Bandai Namco Entertainment,Omega Force,,,,,,,,,,3/27/2020,7/11/2019,#VALUE!,,0,0,
Saints Row IV: Re-Elected,NS_b,Koch Media,Volition,,,,,,,,,,3/27/2020,11/8/2021,#VALUE!,,0,0,
Persona 5 Royal,All_b,Sega,Atlus,,,,4.00m,,,,,,3/31/2020,12/1/2022,#VALUE!,,0,0,
Persona 5 Royal,PS4_b,Atlus,Atlus,9,,,2.30m,,,,,,3/31/2020,8/5/2020,#VALUE!,,0,0,
Bubble Bobble 4 Friends,NS_b,ININ Games,Taito,,,,,,,,,,3/31/2020,9/20/2020,#VALUE!,,0,0,
Zombie Army Trilogy,NS_b,Rebellion Developments,Rebellion Developments,,,,,,,,,,3/31/2020,11/6/2021,#VALUE!,,0,0,
My Friend Pedro,PS4_b,Devolver Digital,DeadToast Entertainment,,,,,,,,,,4/2/2020,3/30/2020,#VALUE!,,0,0,
Resident Evil 3 (2020),All_b,Capcom,Capcom,,,,7.60m,,,,,,4/3/2020,10/11/2020,#VALUE!,,0,0,
Resident Evil 3,XOne_b,Capcom,Capcom,,,,,,,,,,4/3/2020,12/10/2019,#VALUE!,,0,0,
Resident Evil 3,PS4_b,Capcom,Capcom,7,,,,,,,,,4/3/2020,12/10/2019,#VALUE!,,0,0,
Resident Evil 3,PC_b,Capcom,Capcom,,,,,,,,,,4/3/2020,12/10/2019,#VALUE!,,0,0,
Disaster Report 4 Plus: Summer Memories,NS_b,NIS America,Granzella,,,,,,,,,,4/7/2020,10/17/2019,#VALUE!,,0,0,
Disaster Report 4 Plus: Summer Memories,PC_b,NIS America,Granzella,,,,,,,,,,4/7/2020,10/17/2019,#VALUE!,,0,0,
Disaster Report 4 Plus: Summer Memories,PS4_b,NIS America,Granzella,,,,,0.05m,,,0.05m,,4/7/2020,12/19/2018,0.05,,0.05,0.05,
Final Fantasy VII Remake,All_b,Square Enix,Square Enix,,,,7.00m,,,,,,4/10/2020,9/15/2023,#VALUE!,,0,0,
Final Fantasy VII Remake,PS4_b,Square Enix,Square Enix,9,,,5.00m,,,,,,4/10/2020,8/5/2020,#VALUE!,,0,0,
Space Engineers,XOne_b,Keen Software House,Keen Software House,,,,,,,,,,4/14/2020,,#VALUE!,,0,0,
Phantasy Star Online 2,XOne_b,Sega,Sega,,,,,,,,,,4/14/2020,5/11/2020,#VALUE!,,0,0,
Someday You'll Return,XOne_b,CBE Software s.r.o.,CBE Software s.r.o.,,,,,,,,,,4/14/2020,2/13/2020,#VALUE!,,0,0,
Someday You'll Return,PS4_b,CBE Software s.r.o.,CBE Software s.r.o.,,,,,,,,,,4/14/2020,2/13/2020,#VALUE!,,0,0,
Someday You'll Return,PC_b,CBE Software s.r.o.,CBE Software s.r.o.,,,,,,,,,,4/14/2020,2/13/2020,#VALUE!,,0,0,
AFL Evolution 2,NS_b,Tru Blu Entertainment,Wicked Witch Software,,,,,,,,,,4/16/2020,5/1/2020,#VALUE!,,0,0,
Yakuza Kiwami,XOne_b,Sega,Sega,,,,,,,,,,4/21/2020,4/25/2020,#VALUE!,,0,0,
Azure Striker Gunvolt 2,PS4_b,Inti Creates,Inti Creates,,,,,,,,,,4/23/2020,6/11/2020,#VALUE!,,0,0,
Bokuhime Project,PS4_b,Nippon Ichi Software,Wizard Soft,,,,,,,,,,4/23/2020,2/13/2020,#VALUE!,,0,0,
Bokuhime Project,NS_b,Nippon Ichi Software,Wizard Soft,,,,,,,,,,4/23/2020,2/13/2020,#VALUE!,,0,0,
Cloudpunk,PC_b,Maple Whispering Limited,Ion Lands,,,,,,,,,,4/23/2020,9/7/2020,#VALUE!,,0,0,
MotoGP 20,XOne_b,Milestone S.r.l.,Milestone S.r.l.,,,,,,,,,,4/23/2020,4/13/2020,#VALUE!,,0,0,
MotoGP 20,PS4_b,Milestone S.r.l.,Milestone S.r.l.,,,,,,,,,,4/23/2020,4/13/2020,#VALUE!,,0,0,
MotoGP 20,PC_b,Milestone S.r.l.,Milestone S.r.l.,,,,,,,,,,4/23/2020,4/13/2020,#VALUE!,,0,0,
MotoGP 20,NS_b,Milestone S.r.l.,Milestone S.r.l.,,,,,,,,,,4/23/2020,4/13/2020,#VALUE!,,0,0,
Picross S4,NS_b,Jupiter Corporation,Jupiter Corporation,,,,,,,,,,4/23/2020,4/16/2020,#VALUE!,,0,0,
Trials of Mana,All_b,Square Enix,Square Enix,,,,1.00m,,,,,,4/24/2020,2/12/2021,#VALUE!,,0,0,
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,NS_b,Bandai Namco Entertainment,CyberConnect2,,,,,,,,,,4/24/2020,1/6/2020,#VALUE!,,0,0,
Predator: Hunting Grounds,PS4_b,Sony Computer Entertainment,IllFonic,,,,,,,,,,4/24/2020,6/20/2019,#VALUE!,,0,0,
Predator: Hunting Grounds,PC_b,Sony Computer Entertainment,IllFonic,,,,,,,,,,4/24/2020,12/10/2019,#VALUE!,,0,0,
XCOM: Chimera Squad,PC_b,2K Games,Firaxis Games,5,,,,,,,,,4/24/2020,4/15/2020,#VALUE!,,0,0,
SnowRunner,All_b,Focus Home Interactive,Saber Interactive,,,,1.00m,,,,,,4/28/2020,11/27/2020,#VALUE!,,0,0,
Gears Tactics,PC_b,Xbox Game Studios,Splash Damage,,,,,,,,,,4/28/2020,8/4/2020,#VALUE!,,0,0,
Moving Out,XOne_b,Team 17,DevM Games,,,,,,,,,,4/28/2020,4/27/2020,#VALUE!,,0,0,
Moving Out,PS4_b,Team 17,DevM Games,,,,,,,,,,4/28/2020,4/27/2020,#VALUE!,,0,0,
Moving Out,PC_b,Team 17,DevM Games,,,,,,,,,,4/28/2020,4/27/2020,#VALUE!,,0,0,
Moving Out,NS_b,Team 17,DevM Games,,,,,,,,,,4/28/2020,4/27/2020,#VALUE!,,0,0,
Sakura Wars (2019),PS4_b,Sega,Sega,6,,,,,,,,,4/28/2020,7/28/2020,#VALUE!,,0,0,
SnowRunner,XOne_b,Focus Home Interactive,Saber Interactive,,,,,,,,,,4/28/2020,3/30/2020,#VALUE!,,0,0,
SnowRunner,PS4_b,Focus Home Interactive,Saber Interactive,,,,,,,,,,4/28/2020,3/30/2020,#VALUE!,,0,0,
SnowRunner,PC_b,Focus Home Interactive,Saber Interactive,,,,,,,,,,4/28/2020,3/30/2020,#VALUE!,,0,0,
Telling Lies,XOne_b,Annapurna Interactive,Sam Barlow,,,,,,,,,,4/28/2020,4/27/2020,#VALUE!,,0,0,
