Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Retro Bowl,PC_b,New Star Games,New Star Games,,,,,,,,,,1/1/2020,2/14/2022,#VALUE!,,0,0,3.45
Dr Kawashima's Brain Training for Nintendo Switch,NS_b,Nintendo,Nintendo,,,,1.27m,,,,,,1/3/2020,1/10/2020,#VALUE!,,0,0,
AO Tennis 2,XOne_b,Big Ben Interactive,Big Ant Studios,,,,,,,,,,1/9/2020,12/27/2019,#VALUE!,,0,0,
AO Tennis 2,PS4_b,Big Ben Interactive,Big Ant Studios,,,,,,,,,,1/9/2020,12/27/2019,#VALUE!,,0,0,
AO Tennis 2,PC_b,Big Ben Interactive,Big Ant Studios,,,,,,,,,,1/9/2020,12/27/2019,#VALUE!,,0,0,
AO Tennis 2,NS_b,Big Ben Interactive,Big Ant Studios,,,,,,,,,,1/9/2020,12/27/2019,#VALUE!,,0,0,
Sir Eatsalot,NS_b,EastAsiaSoft,Behind the Stone,,,,,,,,,,1/9/2020,1/10/2020,#VALUE!,,0,0,
Tokyo Dark: Remembrance,PS4_b,Unties,Mebius,,,,,,,,,,1/10/2020,1/13/2020,#VALUE!,,0,0,
Hardcore Mecha,PS4_b,RocketPunch Games,RocketPunch Games,7,,,,,,,,,1/14/2020,1/13/2020,#VALUE!,,0,0,
Grayland,PC_b,1DER Entertainment,1Der Entertainment,6,,,,,,,,,1/15/2020,1/22/2020,#VALUE!,,0,0,
Puzzle & Dragons GOLD,NS_b,GungHo Online Entertainment,GungHo Online Entertainment,,,,,,,,,,1/15/2020,12/24/2019,#VALUE!,,0,0,
Regina & Mac,WiiU_b,Diplodocus Games,Diplodocus Games,,,,,,,,,,1/16/2020,9/20/2020,#VALUE!,,0,0,
Romance of the Three Kingdoms XIV,PS4_b,Koei Tecmo,Koei Tecmo Games,,,,,,,,,,1/16/2020,8/1/2019,#VALUE!,,0,0,
Romance of the Three Kingdoms XIV,PC_b,Koei Tecmo,Koei Tecmo Games,,,,,,,,,,1/16/2020,8/1/2019,#VALUE!,,0,0,
Stories Untold,NS_b,Devolver Digital,No Code,,,,,,,,,,1/16/2020,1/14/2020,#VALUE!,,0,0,
Dragon Ball Z: Kakarot,All_b,Bandai Namco Entertainment,CyberConnect2,,,,4.50m,,,,,,1/17/2020,10/9/2020,#VALUE!,,0,0,
Dragon Ball Z: Kakarot,PS4_b,Bandai Namco Games,CyberConnect2,7,,,3.22m,,,,,,1/17/2020,7/23/2019,#VALUE!,,0,0,
Dragon Ball Z: Kakarot,XOne_b,Bandai Namco Games,CyberConnect2,,,,1.17m,,,,,,1/17/2020,7/23/2019,#VALUE!,,0,0,
Dragon Ball Z: Kakarot,PC_b,Bandai Namco Games,CyberConnect2,,,,,,,,,,1/17/2020,7/23/2019,#VALUE!,,0,0,
Tokyo Mirage Sessions #FE Encore,NS_b,Nintendo,Atlus,,,8.3,,,,,,,1/17/2020,7/23/2020,#VALUE!,,0,0,
Bullet Girls Phantasia,All_b,D3 Publisher,SHADE Inc.,,,,0.10m,,,,,,1/17/2020,10/10/2020,#VALUE!,,0,0,
Whispering Willows,WiiU_b,Akupara Games,Night Light Interactive,,,,,,,,,,1/20/2020,9/20/2020,#VALUE!,,0,0,
Mosaic,NS_b,Raw Fury,Krillbite Studio,,,,,,,,,,1/23/2020,8/17/2018,#VALUE!,,0,0,
Mosaic,XOne_b,Raw Fury,Krillbite Studio,7,,,,,,,,,1/23/2020,8/17/2018,#VALUE!,,0,0,
Mosaic,PS4_b,Raw Fury,Krillbite Studio,,,,,,,,,,1/23/2020,8/17/2018,#VALUE!,,0,0,
Rugby 20,XOne_b,Big Ben Interactive,EKO Software,,,,,,,,,,1/23/2020,1/17/2020,#VALUE!,,0,0,
