Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Forgotten Stories: Echoes of Destiny,PC_b,Unknown,Oniric Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,6.33
Galactic Civilizations II: Endless Universe,PC_b,Unknown,Stardock,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Ghouls 'n Ghosts Online,PC_b,Unknown,Game Factory,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Heist,PC_b,Codemasters,InXile Entertainment,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Heroes of Bestia,PC_b,IGG,IGG.com,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Imagine: Animal Doctor,PC_b,Unknown,Virtual Toys,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Iron Man 2,PC_b,Unknown,"Sega Studios, San Francisco",,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Larry Bond's Harpoon 4,PC_b,Unknown,Ultimation Inc.,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Legend of Edda,PC_b,Unknown,EYA Interactive,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
LEGO Universe,PC_b,Unknown,NetDevil,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Lineage II: Goddess of Destruction,PC_b,Unknown,NCsoft,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Love,PC_b,Unknown,Quel Solar,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Mars,PC_b,Unknown,Spiders Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Martial Arts: Capoeira Fighters,PC_b,Unknown,Twelve Interactive,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Mega Man Anniversary Collection,GBA_b,Unknown,Capcom,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Modern Naval Battles: WWII at Sea,PC_b,Unknown,Dan Verssen Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
NHL 10,PC_b,Unknown,EA Canada,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Petz: Monkeyz House,PC_b,Unknown,Ubisoft,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Pirates of the Caribbean: Armada of the Damned,PC_b,Unknown,Propaganda Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Project Monarch,PC_b,Unknown,Maius Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Ragnarok Online 2,PC_b,Unknown,Gravity Corporation,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Rayman Raving Rabbids 2,PC_b,Unknown,Ubisoft Paris,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Rotastic,PC_b,Unknown,Dancing Dots,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Scarlet Legacy,PC_b,Unknown,InterServ International,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Scorpion,PC_b,Unknown,B-Cool Interactive,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Sega Splash! Golf,PC_b,Unknown,Sega,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Soccer Bashi,PC_b,Icon Games,Icon Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
State of Emergency 2,PC_b,Unknown,DC Studios,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Storm,PC_b,Unknown,indiePub,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Tales of Fantasy,PC_b,IGG,Unknown,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Tales of Pirates II,PC_b,IGG,Unknown,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Agency,PC_b,Unknown,Sony Online Entertainment,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Beatles: Rock Band,PS2_b,Unknown,Harmonix Music Systems,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The City of Metronome,PC_b,Unknown,Team Tarsier,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Fall: Last Days of Gaia,PC_b,Unknown,Silver Style,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Grinder,PC_b,Unknown,High Voltage Software,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Humans: Meet the Ancestors!,PC_b,Unknown,Blue Monkey Studios,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The New Adventures of Moomin: The Mysterious Howling,PC_b,Unknown,Graffiti Entertainment,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Price is Right: Decades,PC_b,Ubisoft,Ludia Inc.,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Rockin' Dead,PC_b,Unknown,bitComposer Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Witness,PSN_b,Unknown,Number None Inc.,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
The Witness,XBL_b,Unknown,Number None Inc.,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Thor: God of Thunder,PC_b,Unknown,Liquid Entertainment,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Time of War,PC_b,Unknown,Oniric Games,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Tom Clancy's Splinter Cell: Conviction,DS_b,Unknown,Ubisoft Montreal,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Twelve Sky 2,PC_b,Unknown,Gigassoft,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Universal Combat Online,PC_b,3000AD,"3000AD, Inc.",,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Uprising 44,PC_b,Unknown,DMD Enterprise Studio,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Urban Freestyle Soccer,PC_b,Unknown,Silicon Dreams,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Warp,PC_b,Unknown,Trapdoor Inc.,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
WipEout XL,PSN_b,Unknown,Psygnosis,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Wizardology,PC_b,Unknown,Double Six,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Wizardry Online,PC_b,Unknown,Gamepot,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Zulu War,PC_b,Unknown,Twiltyt Productions,,,,,,,,,,1/1/1970,,#VALUE!,,0,0.000,
TERA,PC_b,Unknown,En Masse,,,,,0.42m,0.25m,0.13m,,0.04m,1/1/1970,,0.42,,0.42,0.420,
Danganronpa: Trigger Happy Havoc,PSP_b,Unknown,Spike,,,,,0.24m,,,0.24m,,1/1/1970,1/11/2018,0.24,,0.24,0.240,
Ghostbusters II,2600_b,Unknown,Salu Ltd.,,,,,0.21m,0.20m,0.01m,,0.00m,1/1/1970,,0.21,,0.21,0.210,
Valkyria Chronicles III: Unrecorded Chronicles,PSP_b,Unknown,Sega WOW Overworks,,,,,0.21m,,,0.21m,,1/1/1970,,0.21,,0.21,0.210,
Sins of a Solar Empire: Rebellion,PC_b,Unknown,Ironclad Games,,,,0.10m,,,,,,1/1/1970,,#VALUE!,,0,0.000,
Check vs. Mate,PS3_b,Unknown,TopWare Interactive,,,,,0.04m,,0.04m,,0.01m,1/1/1970,,0.04,,0.04,0.040,
WRC: FIA World Rally Championship,PC_b,Unknown,Milestone S.r.l,,,,,0.01m,,0.01m,,0.00m,1/1/1970,,0.01,,0.01,0.010,
