Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
GemChase,XBL_b,Microsoft,Huehnerschaender,,,,,,,,,,1/1/2010,,#VALUE!,,0,0,2540.47
Revenge of the Titans,PC_b,Puppy Games,Puppy Games,,8,,0.34m,,,,,,1/1/2010,,#VALUE!,,0,0,
Dark Fall 3: Lost Souls,PC_b,The Adventure Company,Darkling Room,,,,,0.01m,,0.00m,,0.00m,1/1/2010,,0.01,,0.01,0.01,
Real Crimes: Jack the Ripper,PC_b,Virtual Playground,Virtual Playground,,,,,0.00m,,0.00m,,0.00m,1/1/2010,,0.00,,0.00,0,
Candy Crush Saga,PC_b,King.com,King.com,,,,,,,,,,1/1/2010,,#VALUE!,,0,0,
Cortex Command,PC_b,Unknown,Data Realms,,,,,,,,,,1/1/2010,,#VALUE!,,0,0,
Creed Arena,XBL_b,Microsoft,reedake2,,,,,,,,,,1/1/2010,,#VALUE!,,0,0,
Temple Topper,XBL_b,Microsoft,idle han,,,,,,,,,,1/2/2010,,#VALUE!,,0,0,
Avatar Run,XBL_b,Microsoft,R3dDr4g0n,,,,,,,,,,1/2/2010,,#VALUE!,,0,0,
Secret of the Magic Crystals,PC_b,ArtwareGames,ArtwareGames Inc.,,,,0.15m,,,,,,1/3/2010,,#VALUE!,,0,0,
Hazardous Gas Unit,XBL_b,Microsoft,buddrick,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Hell's Kitchen VS,DSiW_b,Ludia,Ludia Inc.,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Heron: Steam Machine,WW_b,Triangle Studios,Triangle Studios,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Jake's Discount Video Game,XBL_b,Microsoft,jacob aaronson,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Pub Darts,WW_b,Big Blue Bubble,Big Blue Bubble Inc.,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
RC Racing 360,XBL_b,Microsoft,Diego Malinverni,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Switchboard,XBL_b,Microsoft,hotweird,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Trajectile,DSiW_b,Nintendo,Q Games,,6.7,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Dreamer Series: Zoo Keeper,DS_b,DreamCatcher Interactive,DreamCatcher Interactive,,,,,0.06m,0.06m,,,0.00m,1/4/2010,,0.06,,0.06,0.06,
Animal Puzzle Adventure,DSiW_b,Aksys Games,CIRCLE Entertainment,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Brixx,XBL_b,Microsoft,BigBlackBlock,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Fast Draw Showdown,WW_b,Digital Leisure Inc.,Digital Leisure Inc.,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Final Fight 3,VC_b,Capcom,Capcom,,,,,,,,,,1/4/2010,,#VALUE!,,0,0,
Bayonetta,Series_b,Sega,PlatinumGames,,,,6.24m,,,,,,1/5/2010,11/24/2020,#VALUE!,,0,0,
Darksiders,Series_b,THQ,Vigil Games,,,,4.95m,,,,,,1/5/2010,3/19/2020,#VALUE!,,0,0,
Bayonetta,All_b,Sega,PlatinumGames,,,,3.66m,,,,,,1/5/2010,11/24/2020,#VALUE!,,0,0,
Darksiders,All_b,THQ,Vigil Games,,,,3.48m,,,,,,1/5/2010,1/9/2021,#VALUE!,,0,0,
Bayonetta,PS3_b,Sega,PlatinumGames,8.4,8.6,7.2,,1.21m,0.44m,0.40m,0.21m,0.16m,1/5/2010,,1.21,,1.21,1.21,
Darksiders,X360_b,THQ,Vigil Games,8.2,7.8,,,1.06m,0.67m,0.28m,0.01m,0.10m,1/5/2010,,1.06,,1.06,1.06,
Bayonetta,X360_b,Sega,PlatinumGames,9.1,8.9,9.5,,0.93m,0.51m,0.25m,0.09m,0.08m,1/5/2010,,0.93,,0.93,0.93,
Kirby no KiraKira Kids,VC_b,Nintendo,HAL Laboratory,,,,,,,,,,1/5/2010,,#VALUE!,,0,0,
Murder On Snake Road,XBL_b,Microsoft,Silver Dollar Games,,,,,,,,,,1/5/2010,3/3/2020,#VALUE!,,0,0,
Tobe's Vertical Adventure,XBL_b,Microsoft,rayteoactive,,,,,,,,,,1/5/2010,,#VALUE!,,0,0,
Darksiders,PS3_b,THQ,Vigil Games,8.2,7.8,8.5,,0.28m,0.02m,0.14m,0.02m,0.10m,1/5/2010,,0.28,,0.28,0.28,
Divinity II: Ego Draconis,X360_b,CDV Software Entertainment,Larian Studios,,6,,,0.24m,0.18m,0.04m,,0.02m,1/5/2010,,0.24,,0.24,0.24,
My Fitness Coach 2: Exercise and Nutrition,Wii_b,Ubisoft,Lightning Fish,,,,,0.18m,0.13m,0.04m,,0.01m,1/5/2010,,0.18,,0.18,0.18,
Fast Food Panic,DS_b,SouthPeak Interactive,Dorasu,,,,,0.14m,0.13m,0.00m,,0.01m,1/5/2010,,0.14,,0.14,0.14,
Divinity II: Ego Draconis,PC_b,CDV Software Entertainment,Larian Studios,,6.8,,,0.07m,0.01m,0.05m,,0.01m,1/5/2010,,0.07,,0.07,0.07,
Banjo-Kazooie: Nuts & Bolts,XBL_b,Microsoft Game Studios,Rare Ltd.,,,,,,,,,,1/5/2010,,#VALUE!,,0,0,
Boku wa Plarail Untenshi,WW_b,Takara Tomy,Takara Tomy,,,,,,,,,,1/5/2010,,#VALUE!,,0,0,
Matt Hazard: Blood Bath and Beyond,XBL_b,D3 Publisher,Vicious Cycle,,6.6,,,0.00m,,0.00m,,0.00m,1/6/2010,,0.00,,0.00,0,
Artist ni Narou! Minna no Nurie Neko-Hen,DSiW_b,Ertain,Ertain,,,,,,,,,,1/6/2010,,#VALUE!,,0,0,
Guilty Gear,PSN_b,System 3 Arcade Software,Arc System Works,,,,,,,,,,1/7/2010,,#VALUE!,,0,0,
Matt Hazard: Blood Bath and Beyond,PSN_b,D3 Publisher,Vicious Cycle,,,,,,,,,,1/7/2010,,#VALUE!,,0,0,
Minna de Spelunker Black,PSN_b,Irem Software Engineering,Irem Software Engineering,,,,,,,,,,1/7/2010,,#VALUE!,,0,0,
Asphalt: Urban GT 2,PSN_b,Ubisoft,Virtuos,,,,,,,,,,1/7/2010,,#VALUE!,,0,0,
Astonishia Story,PSN_b,Ubisoft,Sonnori,,4.8,,,,,,,,1/7/2010,,#VALUE!,,0,0,
Bomberman Land,PSN_b,Hudson Soft,Hudson Soft,,6.4,,,,,,,,1/7/2010,,#VALUE!,,0,0,
Borderlands: Mad Moxxi's Underdome Riot,PC_b,2K Games,Gearbox Software,,,,,,,,,,1/7/2010,,#VALUE!,,0,0,
Borderlands: Mad Moxxi's Underdome Riot,PSN_b,2K Games,Gearbox Software,,6,,,,,,,,1/7/2010,,#VALUE!,,0,0,
