Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Xevious,NES_b,Namco,Namco,,,,,1.52m,0.18m,0.06m,1.27m,0.01m,1/1/1990,,1.52,,1.52,1.52,647.98
R.B.I. Baseball 2,NES_b,Tengen,Namco,,,,,1.42m,0.12m,,1.30m,,1/1/1990,,1.42,,1.42,1.42,
SolarStriker,GB_b,Nintendo,Nintendo R&D1,,,,1.20m,,,,,,1/1/1990,,#VALUE!,,0,0,
Fortress of Fear: Wizards & Warriors X,GB_b,Acclaim Entertainment,Rare Ltd.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Future Wars,PC_b,Interplay,Delphine Software International,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Gaiares,GEN_b,Renovation,Telenet Japan,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Galactic Crusader,NES_b,Bunch Games,sachen,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Gauntlet,MS_b,U.S. Gold,Tiertex Design Studios,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Gauntlet: The Third Encounter,Lynx_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ghouls 'n Ghosts,MS_b,Sega,Capcom,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Golden Axe,PC_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Golfamania,MS_b,Sega,Sanritsu,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Granada,GEN_b,Renovation,Wolf Team,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Hard Drivin',PC_b,Domark Software,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Hot Action Pack,2600_b,Activision,HES Interactive,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Hyperdrome,Lynx_b,Telegames,"Telegames, Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ikari Warriors,7800_b,Atari,Imagineering Inc.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Impossamole,ZXS_b,Gremlin Graphics,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Impossamole,AST_b,Gremlin Graphics,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Impossamole,C64_b,Gremlin Graphics,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Impossamole,ACPC_b,Gremlin Graphics,Core Design,,,,,,,,,,1/1/1990,1/6/2018,#VALUE!,,0,0,
Impossamole,Amig_b,Gremlin Graphics,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Impossible Mission-II,NES_b,SEI,Novatrade,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Indiana Jones and the Last Crusade: The Action Game,MS_b,U.S. Gold,Tiertex Design Studios,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Infiltrator,NES_b,Mindscape,Chris Gray Enterprises,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Insector X,GEN_b,Taito,Taito,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Inspector Gadget: Mission 1 Global Terror,PC_b,Unknown,Azeroth,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
It Came from the Desert,PC_b,Cinemaware,Level 9 Computing,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
J.J. & Jeff,PCE_b,Hudson Soft,Hudson Soft,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
J.R.R. Tolkien's The Lord of the Rings,PC_b,Interplay,Interplay,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Jack Nicklaus: Turbo Golf,PCE_b,Accolade,Sculptured Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
"James ""Buster"" Douglas Knockout Boxing",MS_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Jimmy Connors Pro Tennis Tour,PC_b,Ubisoft,Blue Byte,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Joe Montana Football,GEN_b,Sega,Park Place Productions,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Joe Montana Football,MS_b,Sega,BlueSky Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Joe Montana Football,PC_b,Sega,MindSpan,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Jones in the Fast Lane,PC_b,Sierra Online,Sierra,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Junction,GEN_b,Micronet,Micronet,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
King of Casino,PCE_b,NEC,Algorithm Institute,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
King's Bounty,ApII_b,New World Computing,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
King's Bounty,C64_b,New World Computing,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
King's Bounty,MSD_b,New World Computing,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Kings of the Beach,NES_b,Ultra Games,Konami,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Klax,NES_b,Tengen,Tengen,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Klax,PCE_b,Tengen,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Klax,Lynx_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Krazy Kreatures,NES_b,American Video Entertainment,American Video Entertainment,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Legendary Axe II,PCE_b,NEC,Victor Interactive Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
LHX: Attack Chopper,PC_b,Electronic Arts,Electronic Arts,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Loom,PC_b,LucasArts,Lucasfilm Games,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Loopz,PC_b,Mindscape,Audiogenic Software Ltd.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
M.U.S.H.A. - Metallic Uniframe Super Hybrid Armor,GEN_b,Seismic,Compile Ltd.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Malibu Beach Volleyball,Lynx_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Mat Mania Challenge,7800_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Mega Man,PC_b,Capcom,Capcom,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Megatraveller: The Zhodani Conspiracy,PC_b,Unknown,Paragon Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Meltdown,7800_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Michael Andretti's World Grand Prix,NES_b,Sammy Corporation,Varie,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Midnight Mutants,7800_b,Atari,Radioactive Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Midwinter,Amig_b,Rainbird,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Moonbase,PC_b,Wesson International,Wesson International,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Moto Rodeo,2600_b,Atari,Axlon,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Motocross Maniacs,GB_b,Ultra Games,Konami,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Motor Psycho,7800_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ms. Pac-Man,Lynx_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ms. Pac-Man (Tengen),NES_b,Tengen,Namco,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Nemesis,GB_b,Ultra Games,Konami,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
New Ghostbusters II,NES_b,HAL Laboratory,HAL Laboratory,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
New Ghostbusters II,GB_b,Activision,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ninja Golf,7800_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ninja Spirit,PCE_b,NEC,Irem Software Engineering,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Nobunaga's Ambition,GB_b,KOEI,Koei / Inis,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ordyne,PCE_b,NEC,Namco,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Othello,GB_b,Nintendo,Kawada,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Overlord (1990),PC_b,Virgin Mastertronic,Probe Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Pac-Land,PCE_b,NEC,Namco,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Paperboy,Lynx_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Paperboy,MS_b,Sega,Tiertex Design Studios,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Pat Riley Basketball,GEN_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Phelios,GEN_b,Namco,Namco,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Pipe Dream,NES_b,Bullet Proof Software,"Distinctive Software, Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Planet Smashers,7800_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Prince of Persia,MS_b,Sega,Domark,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Psychosis,PCE_b,NEC,Naxat Soft,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Puzzle,NES_b,American Video Entertainment,American Video Entertainment,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Rance: Hikari o Motomete,PC_b,Alice Soft,Alice Soft,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Rescue: The Embassy Mission,NES_b,Kemco,Infogrames,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
River City Ransom,NES_b,Technos Japan Corporation,Technos Japan Corporation,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
RoadBlasters,Lynx_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
RoadBlasters,NES_b,Mindscape,Beam Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Robo-Squash,Lynx_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Rock 'n Ball,NES_b,Vap,Namco,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Romance of the Three Kingdoms II,PC_b,KOEI,Koei,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Rygar,Lynx_b,Atari,NuFX,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Secret of the Silver Blades,PC_b,SSI,SSI,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Sentinel,2600_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Sesame Street: ABC & 123,NES_b,Hi Tech Expressions,Rare Ltd.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Shadow Dancer: The Secret of Shinobi,GEN_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Shanghai,Lynx_b,Atari,Activision,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Shockwave,NES_b,Unknown,American Game Cartridges,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Sid Meier's Covert Action,PC_b,Microprose,MPS Labs,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Silent Service II,PC_b,Microprose,"MicroProse Software, Inc",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
SimEarth: The Living Planet,PC_b,Maxis,Maxis,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Slap Shot,MS_b,Sega,Sanritsu,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Solstice: The Quest for the Staff of Demnos,NES_b,CBS / Sony,Software Creations,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Sonic Spike,PCE_b,IGS,IGS,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Sorcerian,PC_b,Sierra Entertainment,Nihon Falcom Corporation,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Speedball,MS_b,Imageworks,Bitmap Brothers,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Spellcasting 101: Sorcerers Get all the Girls,PC_b,Legend Entertainment,Legend Entertainment,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Spirit of Excalibur,PC_b,Virgin Interactive,Synergistic Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Splatterhouse,PCE_b,NEC,Namco,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Stellar 7,PC_b,Sierra Entertainment,Dynamix,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
StormLord,GEN_b,Razorsoft,Punk Development,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Strider,GEN_b,Sega,Capcom,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Strider Returns: Journey From Darkness,GEN_b,U.S. Gold,Tiertex Design Studios,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Super Monaco GP,MS_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Super Volleyball,PCE_b,NEC,Micronics,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Sword of Sodan,GEN_b,Electronic Arts,Innerprise Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Sword of the Samurai,PC_b,Microprose,MicroProse,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Takin' It to the Hoop,PCE_b,NEC,Aicom,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Target Earth,GEN_b,DreamWorks Interactive,NCS,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Technocop,GEN_b,Razorsoft,Razor Soft,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Tecmo World Cup,GEN_b,Tecmo,SIMS,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Ancient Art of War in the Skies,PC_b,Microprose,Evryware,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Chessmaster,NES_b,Software Toolworks,Software Toolworks,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Cyber Shinobi,MS_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Dark Heart of Uukrul,PC_b,Broderbund,Digital Studios Limited,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Mafat Conspiracy,NES_b,Victory Lap Games,Aicom,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Miracle Piano Teaching System,NES_b,Mindscape,The Software Toolworks,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Punisher (1990),PC_b,Microprose,Paragon Software Corporation,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Secret of Monkey Island,PC_b,LucasArts,Lucasfilm Games,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Terminator,MS_b,Virgin Interactive,Probe Entertainment Limited,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Terminator,PC_b,Bethesda Softworks,"Media Technology, Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
The Ultimate Stuntman,NES_b,Camerica,Codemasters,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Thunder Force III,GEN_b,Hot-B,"TechnoSoft Co., Ltd.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Tiger Road,PCE_b,NEC,Victor Interactive Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Tiles of Fate,NES_b,American Video Entertainment,C&E Inc.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Timeball,PCE_b,Turbo Technologies,Hudson Soft,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Top Gun: The Second Mission,NES_b,Konami,Konami,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Top Players Tennis,NES_b,Asmik Corp,"Asmik Ace Entertainment, Inc",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Transylvania III: Vanquish the Night,PC_b,Merit Studios,Polarware,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Tricky Kick,PCE_b,IGS,Alfa System,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
TV Sports Football,PCE_b,NEC,Cinemaware,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Twin Cobra,NES_b,Sammy Corporation,Micronics,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ultima IV,MS_b,Sega,Origin,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Ultima VI: The False Prophet,PC_b,Origin Systems,"Origin Systems, Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Uncharted Waters,PC_b,KOEI,Koei,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Valis II,PCE_b,NEC,Nippon Telenet,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Veigues Tactical Gladiator,PCE_b,NEC,Bits Laboratory,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Werewolf: The Last Warrior,NES_b,Data East,Takara,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Whip Rush,GEN_b,Renovation,Vic Tokai,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Wing Commander: The Secret Missions,PC_b,Origin Systems,Origin,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Wizardry: Bane of the Cosmic Forge,PC_b,Sirtech,Sir-Tech Software Inc.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
World Championship Soccer,GEN_b,Sega,SEGA Enterprises Ltd.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
World Cup Italia '90,MS_b,Sega,Mastertronic,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
X-Men II: The Fall of the Mutants,PC_b,Unknown,Paragon Software Corporation,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Xenon 2: Megablast,PC_b,Imageworks,"Assembly Line, The, Bitmap Brothers, The",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Xenophobe,2600_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Zany Golf,GEN_b,Electronic Arts,Sandcastle,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Zarlor Mercenary,Lynx_b,Atari,Epyx,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Zoo Block,GB_b,Sachen,sachen,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Microsoft Entertainment Pack,Series_b,Microsoft,Microsoft,,,,0.50m,,,,,,1/1/1990,3/21/2021,#VALUE!,,0,0,
Red Baron,PC_b,Sierra Entertainment,"Dynamix, Inc.",,,,0.50m,,,,,,1/1/1990,,#VALUE!,,0,0,
John Madden Football,GEN_b,Electronic Arts,Park Place Productions,,,,0.40m,,,,,,1/1/1990,,#VALUE!,,0,0,
Sid Meier's Railroad Tycoon Deluxe,All_b,Microprose,MPS Labs,,,,0.40m,,,,,,1/1/1990,3/12/2021,#VALUE!,,0,0,
Secret of the Silver Blades,All_b,Strategic Simulations,"Strategic Simulations, Inc.",,,,0.17m,,,,,,1/1/1990,3/22/2021,#VALUE!,,0,0,
KLAX,2600_b,Atari,Atari,,,,,0.15m,0.14m,0.01m,,0.00m,1/1/1990,,0.15,,0.15,0.15,
Champions of Krynn,PC_b,SSI,SSI,,,,0.12m,,,,,,1/1/1990,,#VALUE!,,0,0,
Buck Rogers: Countdown to Doomsday,All_b,Strategic Simulations,Strategic Simulations,,,,0.05m,,,,,,1/1/1990,3/22/2021,#VALUE!,,0,0,
DragonStrike,All_b,Strategic Simulations,Westwood Associates,,,,0.03m,,,,,,1/1/1990,3/23/2021,#VALUE!,,0,0,
8 Eyes,NES_b,Taxan,Thinking Rabbit,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Aerial Assault,MS_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Aero Blasters,PCE_b,Turbo Technologies,Inter State,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
African Trail Simulator,PC_b,Unknown,Crom Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Air Diver,GEN_b,Seismic,Asmik Corporation of America,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Alex Kidd in Shinobi World,MS_b,Sega,Sega,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Alien Brigade,7800_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Arrow Flash,GEN_b,Sega,"Renovation Products, Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Assault City,MS_b,Sega,Sanritsu,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
B.A.T.,PC_b,Ubisoft,Computer's Dream,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Back to the Future Part II,MS_b,Imageworks,Mirrorsoft,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Back to the Future Part II,PC_b,Imageworks,Images Ltd,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bad Blood,PC_b,Origin Systems,Origin,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bases Loaded II: Second Season,NES_b,Jaleco,Jaleco Entertainment,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Basketbrawl,7800_b,Atari,Atari,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Battle Royale,PCE_b,Turbo Technologies,Incredible Technologies,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Battle Squadron,GEN_b,Electronic Arts,"Innerprise Software, Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
BattleTech: The Crescent Hawks' Revenge,PC_b,Infocom,Westwood Associates,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Beetlejuice: Skeletons in the Closet,PC_b,Hi Tech Expressions,Riedel Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Betrayal,PC_b,Rainbird,Floppy Electronic Services Ltd.,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bible Adventures,NES_b,Wisdom Tree,Wisdom Tree,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bloody Wolf,PCE_b,Turbo Technologies,Data East,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bomberman,PCE_b,Turbo Technologies,Hudson Soft,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bonk's Adventure,PCE_b,NEC,RED Company,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Boulder Dash,GB_b,Nintendo,Beam Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bounced,GB_b,Midas Interactive Entertainment,Midas Interactive Entertainment,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Boxyboy,PCE_b,NEC,Media Rings,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bravoman,PCE_b,Turbo Technologies,Now Production,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Buck Rogers: Countdown to Doomsday,PC_b,SSI,SSI,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Budokan: The Martial Spirit,GEN_b,Electronic Arts,Electronic Arts,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Bugs Bunny: Hare-Brained Adventure,PC_b,Hi Tech Expressions,Riedel Software,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Burning Force,GEN_b,Namco,Namco,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Burnout Anthology,Arc_b,Williams,Unknown,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
California Games II,PC_b,Epyx,Epyx,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Captain Comic II: Fractured Reality,PC_b,ComputerEasy,Color Dreams,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Castle of Deceit,NES_b,Bunch Games,"Bunch Games, Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Castle of Illusion Starring Mickey Mouse,GEN_b,Sega,Sega (AM7),,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Castle of Illusion Starring Mickey Mouse,MS_b,Sega,Sega (AM7),,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Castlevania,PC_b,Konami,"DistinctiveÃ‚Â Software,Ã‚Â Inc.",,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Centurion: Defender of Rome,PC_b,Electronic Arts,Bits of Magic,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Challenge of the Dragon,NES_b,Color Dreams,Color Dreams,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Chase H.Q.,MS_b,Sega,Taito Corporation,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
Chew Man Fu,PCE_b,NEC,Now Production,,,,,,,,,,1/1/1990,,#VALUE!,,0,0,
