Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Championship Manager 99/00,PC_b,Eidos Interactive,Sports Interactive,,,,,1.07m,,0.98m,,0.09m,1/1/2000,,1.07,,1.07,1.07,3331.09
Full Time Soccer,GB_b,Datel,DAG,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Grachten Racer,PC_b,Davilex,Lost Boys Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Half-Life: The Opera,PC_b,Unknown,Unknown,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Heroes of Might and Magic III Complete,PC_b,3DO,New World Computing,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Hot Wheels Stunt Track Driver,GB_b,Mattel Interactive,Lucky Chicken,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Hoyle Casino,DC_b,Sierra Entertainment,Unknown,,8.4,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Infestation,PC_b,Ubisoft,Frontier Developments,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
International Superstar Soccer 99,GB_b,Konami,Konami,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Jimmy White's 2: Cueball,DC_b,Virgin Interactive,Awesome Developments,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Jojo's Bizarre Adventure,DC_b,Capcom,Capcom,,8.1,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Killer Loop,PC_b,Crave Entertainment,VCC Entertainment,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
LEGO Alpha Team,PC_b,LEGO Media,Digital Domain,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
LEGO Creator: Knights' Kingdom,PC_b,LEGO Media,Superscape,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Libero Grande 2,PS_b,Namco,Namco,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Lucky Luke: Desperado Train,GB_b,Infogrames,Infogrames,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Lucky Luke: On the Dalton's Trail,PC_b,Infogrames,Ocean,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
