Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Lynx Othello,Lynx_b,Unknown,Harry Dodgson,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Mary King's Riding Star,PS_b,Midas Interactive Entertainment,Midas Interactive Entertainment,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Maya the Bee and Her Friends,GB_b,Acclaim Entertainment,Crawfish Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Memories Off,PC_b,KID,KID,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Micro Machines 1 and 2: Twin Turbo,GB_b,THQ,Virtucraft,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Moraff's Maximum Mahjongg,PC_b,Global Star Software,Moraff Games,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Nancy Drew: Stay Tuned for Danger,PC_b,Her Interactive,Her Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
NBA Showtime: NBA on NBC,GB_b,Midway Games,Torus Games,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Oddworld Adventures 2,GB_b,GT Interactive,Saffire Corporation,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Oddworld: Abe's Exoddus,GB_b,GT Interactive,Unknown,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Pacific Warriors,PC_b,Virgin Interactive,InterActive Vision Games,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Pajama Sam's One-Stop Fun Shop,PC_b,Humongous,Humongous Entertainment,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Papyrus,GB_b,Ubisoft,Planet Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Planet Ring,DC_b,Sega,Sega,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Pocket Racing,GB_b,Virgin Interactive,MTO,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Prism Land,PS_b,Midas Interactive Entertainment,D Cruise,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Puchi Carat,PS_b,Event Horizon Software,Taito Corporation,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Racin' Ratz,GB_b,Mattel Interactive,KnowWonder,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Remnant,Lynx_b,Songbird Productions,Songbird Productions,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Rescue Shot,PS_b,Namco,Namco,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Roadsters,GB_b,Titus,Titus Software,,3,,,,,,,,1/1/2000,,#VALUE!,,0,0,
RollerCoaster Factory,PC_b,ValuSoft,ValuSoft,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Rome: Caesar's Will,PC_b,Montparnasse Multimedia,Montparnasse Multimedia,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
RPG Tsukuru 2000,PC_b,ASCII Entertainment,Kuusou Kagaku,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Rugrats in Paris: The Movie,PC_b,THQ,Mattel Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Scooby-Doo!: Show Down In Ghost Town,PC_b,The Learning Company,"TerraGlyph Interactive Studios, L.P.",,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Sea Battle,2600_b,Unknown,INTV,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Sega Rally Championship 2,PC_b,Sega,AM5,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Sega Smash Pack 2,PC_b,Sega,Sega,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Sega Swirl,DC_b,Sega,Tremor Entertainment,,8.6,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Sega Swirl,PC_b,Sega,Tremor Entertainment,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
SkyHammer,AJ_b,Songbird Productions,Rebellion Developments,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Spirou: The Robot Invasion,GB_b,Ubisoft,Planet Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Star Strike,SCD_b,Good Night Brave Warrior,Good Deal Games,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Star Trek: Starship Creator Warp II,PC_b,Simon & Schuster Interactive,Imergy,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Supercross Freestyle,GB_b,Infogrames,Infogrames,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Swordfight,2600_b,Unknown,INTV,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
The Sacred Amulet,PC_b,DreamCatcher Interactive,Cryo Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Tiger Woods PGA Tour 2000,GB_b,THQ,Xantera,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Tonic Trouble,GB_b,Ubisoft,RFX Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Toy Story 2: Buzz Lightyear to the Rescue!,PC_b,Disney Interactive Studios,Traveller's Tales,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Trials Legends,PC_b,Miniclip.com,RedLynx,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
UEFA 2000,GB_b,Infogrames,Bit Managers,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
UEFA Champions League Season 1999/2000,PC_b,Eidos Interactive,Silicon Dreams,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Vakantie Racer,PC_b,Davilex,Lost Boys Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Virtua Tennis,DC_b,Sega,Hitmaker,,9.2,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Wacky Races,PC_b,Infogrames,Appaloosa Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Wetrix+,DC_b,Xicat Interactive,Zed Two Limited,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Who Wants to Beat Up a Millionaire,DC_b,Berkeley,Berkeley,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Worms Armageddon,GB_b,Infogrames,Team17 Software,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Worms Pinball,PS_b,Infogrames,Team17 Software,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Xarlor: Infinite Expanse,PC_b,Mountain King Studios,Mountain King Studios,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Yeh Yeh Tennis,PS_b,Sunsoft,SunSoft,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Tomb Raider Chronicles,PS_b,Eidos Interactive,Core Design Ltd.,,,,,0.61m,0.34m,0.23m,,0.04m,1/1/2000,,0.61,,0.61,0.61,
Army Men: Sarge's Heroes,PS_b,3DO,3DO,,,,,0.56m,0.31m,0.21m,,0.04m,1/1/2000,,0.56,,0.56,0.56,
The Grinch,PS_b,Konami,Artificial Mind and Movement,,,,,0.52m,0.29m,0.20m,,0.03m,1/1/2000,,0.52,,0.52,0.52,
100+ Great Games,PC_b,ValuSoft,ValuSoft,,,,0.22m,,,,,,1/1/2000,5/24/2023,#VALUE!,,0,0,
WCW Backstage Assault,PS_b,Electronic Arts,Electronic Arts,,,,,0.21m,0.12m,0.08m,,0.01m,1/1/2000,,0.21,,0.21,0.21,
Millennium Gamepak Gold,PC_b,ValuSoft,ValuSoft,,,,0.18m,,,,,,1/1/2000,5/24/2023,#VALUE!,,0,0,
Vietnam: Black Ops,PC_b,ValuSoft,Fused Software,,,,0.17m,,,,,,1/1/2000,,#VALUE!,,0,0,
Detective Barbie: The Mystery Cruise,PS_b,Mattel Interactive,Runecraft,,,,,0.14m,0.08m,0.05m,,0.01m,1/1/2000,,0.14,,0.14,0.14,
Tyco RC: Assault with a Battery,PS_b,Mattel Interactive,Lucky Chicken Games,,,,,0.11m,0.06m,0.04m,,0.01m,1/1/2000,,0.11,,0.11,0.11,
Woody Woodpecker Racing,PS_b,Konami,Syrox Developments,,,,,0.11m,0.06m,0.04m,,0.01m,1/1/2000,,0.11,,0.11,0.11,
Pompei: The Legend of Vesuvius,All_b,Cryo Interactive,Arxel Tribe,,,,0.09m,,,,,,1/1/2000,3/11/2021,#VALUE!,,0,0,
A2 Racer 3,PC_b,Davilex,Davilex,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Avernum,PC_b,Spiderweb Software,Spiderweb Software,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Barca Total 2000,GB_b,Ubisoft,Live Media,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Battlesphere,AJ_b,Unknown,4Play,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Business Tycoon,PC_b,Ubisoft,Stardock,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Castrol Honda Superbike 2000,PC_b,Midas Interactive Entertainment,Eidos Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Championship Rally,Lynx_b,Songbird Productions,Songbird Productions,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Disney's Donald Duck: Goin' Quackers,PC_b,Ubisoft,Disney Interactive Studios,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
DreamOn Volume 2,DC_b,Sega,Sega,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Egypt 1156 B.C.: Tomb of the Pharaoh,PS_b,Canal+ Multimedia,Cryo Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Egypt II: The Heliopolis Prophecy,PC_b,DreamCatcher Interactive,Cryo Interactive,,,,,,,,,,1/1/2000,,#VALUE!,,0,0,
Championship Manager: Season 00/01,PC_b,Eidos Interactive,Sports Interactive,,,,,0.00m,,0.00m,,0.00m,1/2/2000,,0.00,,0.00,0,
Discworld Noir,PS_b,GT Interactive,Perfect Entertainment,,,,,,,,,,1/3/2000,,#VALUE!,,0,0,
Hanagumi Taisen Columns 2,DC_b,Sega,Tenky,,9,,,,,,,,1/6/2000,,#VALUE!,,0,0,
Ochan no Oekaki Logic,WS_b,Sunsoft,SunSoft,,,,,,,,,,1/6/2000,,#VALUE!,,0,0,
Ouchan no Oekaki Logic,WS_b,Sunsoft,SunSoft,,,,,,,,,,1/6/2000,,#VALUE!,,0,0,
Summon Night,PS_b,Banpresto,Flight-Plan,,,,,,,,,,1/6/2000,,#VALUE!,,0,0,
Super Robot Taisen EX,PS_b,Banpresto,Banpresto,,,,,,,,,,1/6/2000,,#VALUE!,,0,0,
Dokodemo Hamster,WS_b,Bec,Bec,,,,,,,,,,1/6/2000,,#VALUE!,,0,0,
Marie no Atelier GB,GB_b,Imagineer,Gust,,,,,,,,,,1/8/2000,,#VALUE!,,0,0,
Elie no Atelier GB,GB_b,Imagineer,Gust,,,,,,,,,,1/8/2000,,#VALUE!,,0,0,
Parasite Eve II,PS_b,Square EA,SquareSoft,,7.4,,1.20m,,,,,,1/12/2000,,#VALUE!,,0,0,
Go Meiheibe & Reversi Touryuumon,WS_b,Sammy Corporation,Sammy Studios,,,,,,,,,,1/13/2000,,#VALUE!,,0,0,
Heiwa Parlor! Pro: Lupin Sansei Special,PS_b,Telenet Japan,Telenet Japan,,,,,,,,,,1/13/2000,,#VALUE!,,0,0,
Touge Max G,PS_b,Atlus,Cave,,,,,,,,,,1/13/2000,,#VALUE!,,0,0,
Airfix Dogfighter,PC_b,EON Digital Entertainment,Paradox Interactive,,7.8,,,,,,,,1/14/2000,,#VALUE!,,0,0,
International Track & Field,GB_b,Konami,Konami Computer Entertainment Nagoya,,,,,,,,,,1/19/2000,,#VALUE!,,0,0,
Nanatsu no Hikan: Senritsu no Bishou,DC_b,KOEI,Koei,,,,,,,,,,1/20/2000,,#VALUE!,,0,0,
Rainbow Cotton,DC_b,Success,Success,,5.4,,,,,,,,1/20/2000,,#VALUE!,,0,0,
Umihara Kawase Shun: Second Edition,PS_b,Xing Entertainment,Jack Pot / Clary,,,,,,,,,,1/20/2000,,#VALUE!,,0,0,
Aero Dancing: Torodoki Taichou no Himitsu Disc,DC_b,CRI,CRI,,,,,,,,,,1/20/2000,,#VALUE!,,0,0,
Beat Planet Music,PS_b,Sony Computer Entertainment,Sony Computer Entertainment,,,,,,,,,,1/20/2000,,#VALUE!,,0,0,
Densha de Go! 2,DC_b,Taito,Taito Corporation,,,,,,,,,,1/20/2000,,#VALUE!,,0,0,
Digimon Adventure: Cathode Tamer,WS_b,Bandai,Bandai,,,,,,,,,,1/20/2000,,#VALUE!,,0,0,
Swamp Buggy Racing,PC_b,WizardWorks,Daylight Productions,,1.9,,,,,,,,1/21/2000,,#VALUE!,,0,0,
Mario Party 2,N64_b,Nintendo,Hudson Soft,,,,2.48m,,,,,,1/24/2000,,#VALUE!,,0,0,
Crazy Taxi,DC_b,Sega,Hitmaker,,9.3,,,1.81m,1.10m,0.51m,0.12m,0.08m,1/24/2000,,1.81,,1.81,1.81,
Final Fantasy VIII,PC_b,Square EA,SquareSoft,,8,,0.58m,,,,,,1/25/2000,,#VALUE!,,0,0,
K-1 Grand Prix,PS_b,Jaleco,Xing Entertainment,,,,,0.01m,0.01m,0.01m,,0.00m,1/25/2000,8/14/2020,0.01,,0.01,0.01,
X: Beyond the Frontier,PC_b,THQ,Egosoft,,,,,,,,,,1/26/2000,,#VALUE!,,0,0,
Marvel vs. Capcom: Clash of Super Heroes,PS_b,Capcom,Capcom,,,,,0.78m,0.43m,0.30m,,0.05m,1/27/2000,,0.78,,0.78,0.78,
Grauen no Torikago Kapitel 3: Kansei,DC_b,Sega,Sega,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Legacy Of Kain: Soul Reaver,DC_b,Eidos Interactive,Crystal Dynamics,,9.1,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Oekaki Puzzle 2,PS_b,Success,Success,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Roommania #203,DC_b,Sega,Sega,,8.1,,,,,,,,1/27/2000,,#VALUE!,,0,0,
SuperLite 1500 Series: Nankuro 2,PS_b,Success,Success,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Undercover AD2025 Kei,DC_b,Pulse Entertainment,Pulse Interactive,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
PoPoLoCrois Monogatari II,PS_b,Sony Computer Entertainment,G-Artists,,,,,0.21m,,,0.20m,0.01m,1/27/2000,,0.21,,0.21,0.21,
Cardcaptor Sakura: Clow Card Magic,PS_b,Arika,Arika,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Cho-Nazo-Oh,PS_b,Bandai,Bandai,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Densha de Go! Nagoya Tetsudou Hen,PS_b,Taito,Taito,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Doko Demo Issyo Tsuika Disc: Koneko Mo Issyo,PS_b,Sony Computer Entertainment,SCEI,,,,,,,,,,1/27/2000,,#VALUE!,,0,0,
Kaseki no Uta,PC_b,age,age,,,,,,,,,,1/28/2000,,#VALUE!,,0,0,
Toriko 2 Toriko,PC_b,Digerati,D.O.,,,,,,,,,,1/28/2000,,#VALUE!,,0,0,
Virtual Pro Wrestling 2: Oudou Keishou,N64_b,Asmik Ace Entertainment,Aki Corp.,,,,,,,,,,1/28/2000,,#VALUE!,,0,0,
Donkey Kong GB: Dinky Kong & Dixie Kong,GB_b,Nintendo,Rare Ltd.,,,,,0.28m,,,0.28m,0.00m,1/28/2000,,0.28,,0.28,0.28,
Rally Championship,Series_b,Electronic Arts,Red Rat Software,,,,3.00m,,,,,,1/31/2000,2/28/2020,#VALUE!,,0,0,
Colin McRae Rally,PS_b,Sony Computer Entertainment,Codemasters,,7.9,,,2.87m,0.09m,2.43m,0.12m,0.22m,1/31/2000,,2.87,,2.87,2.87,
SaGa Frontier 2,PS_b,Square EA,SquareSoft,,7.4,,,0.94m,0.10m,0.07m,0.71m,0.06m,1/31/2000,,0.94,,0.94,0.94,
Fear Effect,PS_b,Eidos Interactive,Kronos Digital Entertainment,,,,,0.72m,0.40m,0.27m,,0.05m,1/31/2000,,0.72,,0.72,0.72,
Mobil 1 Rally Championship,PC_b,Electronic Arts,Magnetic Fields,,,,,,,,,,1/31/2000,,#VALUE!,,0,0,
NASCAR Rumble,PS_b,Electronic Arts,Electronic Arts,,,,,0.56m,0.31m,0.21m,,0.04m,1/31/2000,,0.56,,0.56,0.56,
ECW Hardcore Revolution,PS_b,Acclaim Entertainment,Acclaim,,,,,0.48m,0.27m,0.18m,,0.03m,1/31/2000,,0.48,,0.48,0.48,
ECW Hardcore Revolution,N64_b,Acclaim Entertainment,Acclaim Entertainment,,,,,0.22m,0.18m,0.04m,,0.00m,1/31/2000,,0.22,,0.22,0.22,
Jackie Chan: Stuntmaster,PS_b,Midway Games,Radical Entertainment,,,,,0.22m,0.12m,0.08m,,0.01m,1/31/2000,,0.22,,0.22,0.22,
Railroad Tycoon II,PS_b,Take-Two Interactive,Take-Two Interactive,,6.6,,,0.11m,0.06m,0.04m,,0.01m,1/31/2000,,0.11,,0.11,0.11,
Brunswick Circuit Pro Bowling 2,PS_b,THQ,Adrenalin Entertainment,,7,,,0.11m,0.06m,0.04m,,0.01m,1/31/2000,,0.11,,0.11,0.11,
The Sims,PC_b,Maxis,Maxis,,8.9,,,0.05m,0.01m,0.03m,,0.00m,1/31/2000,,0.05,,0.05,0.05,
Nox,PC_b,Electronic Arts,Westwood Studios,,,,,0.00m,,0.00m,,0.00m,1/31/2000,,0.00,,0.00,0,
Blaze & Blade: Eternal Quest,PC_b,SouthPeak Interactive,Tikipod,,,,,,,,,,1/31/2000,,#VALUE!,,0,0,
Carrier,DC_b,Jaleco,Jaleco Entertainment,,7.1,,,,,,,,1/31/2000,,#VALUE!,,0,0,
Anno,Series_b,GT Interactive,Max Design,,,,5.70m,,,,,,2/1/2000,5/12/2021,#VALUE!,,0,0,
1602 A.D.,PC_b,Sunflowers,Max Design,,,,2.70m,,,,,,2/1/2000,,#VALUE!,,0,0,
Jet de Go!: Let's Go By Airliner,PS_b,Taito,Taito Corporation,,,,,,,,,,2/1/2000,,#VALUE!,,0,0,
NHL 2000,GB_b,EA Sports,Tiertex Design Studios,,,,,,,,,,2/1/2000,,#VALUE!,,0,0,
Polaris SnoCross,GB_b,Vatical Entertainment,Vicarious Visions,,,,,,,,,,2/1/2000,,#VALUE!,,0,0,
Vegas Games,GB_b,3DO,Digital Eclipse,,,,,,,,,,2/1/2000,,#VALUE!,,0,0,
Wild Metal,DC_b,Rockstar Games,DMA Design,,,,,,,,,,2/1/2000,,#VALUE!,,0,0,
NHL Blades of Steel 2000,PS_b,Konami,Konami,,,,,0.04m,0.02m,0.01m,,0.00m,2/1/2000,,0.04,,0.04,0.04,
Army Men 2,GB_b,3DO,Digital Eclipse,,,,,,,,,,2/1/2000,,#VALUE!,,0,0,
ECW Hardcore Revolution,GB_b,Acclaim Entertainment,Crawfish Interactive,,,,,,,,,,2/1/2000,,#VALUE!,,0,0,
Top Gear Pocket 2,GB_b,Kemco,Vision Works,,,,,,,,,,2/2/2000,,#VALUE!,,0,0,
NBA In The Zone 2000,PS_b,Konami,KCEO,,,,,0.21m,0.12m,0.08m,,0.01m,2/2/2000,,0.21,,0.21,0.21,
Vigilante 8: 2nd Offense,N64_b,Activision,"Luxoflux, Inc.",,,,,0.11m,0.09m,0.02m,,0.00m,2/2/2000,,0.11,,0.11,0.11,
Fishing Freaks: BassRise Plus,PS_b,Bandai,Bandai,,,,,,,,,,2/3/2000,,#VALUE!,,0,0,
G1 Jockey 2000,PS_b,KOEI,Koei/Inis,,,,,,,,,,2/3/2000,,#VALUE!,,0,0,
Hissatsu Pachinko Station Now 3,PS_b,Sunsoft,SunSoft,,,,,,,,,,2/3/2000,,#VALUE!,,0,0,
Uzumaki,WS_b,Omega Micott,Omega Micott,,,,,,,,,,2/3/2000,,#VALUE!,,0,0,
Addie no Okurimono: To Moze from Addie,PS_b,Sony Computer Entertainment,SCEI,,,,,,,,,,2/3/2000,,#VALUE!,,0,0,
Crazy Climber 2000,PS_b,Nihon Bussan,ISCO,,,,,,,,,,2/3/2000,,#VALUE!,,0,0,
The Sims,Series_b,Electronic Arts,Maxis,,,,200.00m,,,,,,2/4/2000,2/18/2020,#VALUE!,,0,0,
The Sims,All_b,Electronic Arts,Maxis,,,,16.00m,,,,,,2/4/2000,10/18/2020,#VALUE!,,0,0,
B-Daman Baku Gaiden V: Final Mega Tune,GB_b,Media Factory,Media Factory,,,,,,,,,,2/4/2000,,#VALUE!,,0,0,
Soccer Kid,AJ_b,Songbird Productions,Krisalis Software,,,,,,,,,,2/7/2000,,#VALUE!,,0,0,
NHL 2K,DC_b,Sega,Black Box,,8.3,,,,,,,,2/9/2000,,#VALUE!,,0,0,
Pop'n Music 3 Append Disc,DC_b,Konami,Konami,,,,,,,,,,2/10/2000,,#VALUE!,,0,0,
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS_b,Bandai,Bandai,,,,,0.57m,,,0.54m,0.04m,2/10/2000,,0.57,,0.57,0.57,
Cho Aniki: Otoko no Tamafuda,WS_b,Bandai,Bandai,,,,,,,,,,2/10/2000,,#VALUE!,,0,0,
Go Raku O Tango!,GB_b,J-Wing,J-Wing,,,,,,,,,,2/11/2000,,#VALUE!,,0,0,
Dune 2000,PS_b,Electronic Arts,Westwood Studios,,,,,0.25m,0.14m,0.09m,,0.02m,2/11/2000,,0.25,,0.25,0.25,
RR64: Ridge Racer 64,N64_b,Nintendo,Nintendo Software Technology Corporation,,,,,0.40m,0.32m,0.07m,,0.00m,2/14/2000,,0.40,,0.40,0.4,
Disney's Tarzan,N64_b,Activision,Eurocom Entertainment Software,,,,,0.20m,0.16m,0.04m,,0.00m,2/14/2000,,0.20,,0.20,0.2,
Hanafuda Shiyouyo,WS_b,Kaga Tech,Kaga Tech,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
Kakuge-Yaro: Fighting Game Creator,PS_b,IPC Software,IPC Software,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
Magical Tetris Challenge,GB_b,Capcom,Capcom,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
The Bistro,PS_b,Syscom,Syscom,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
Treasure Strike,DC_b,KID,Sega,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
Uki Uki Tsuri Tengoku: Uokami Densetsu o Oe,PS_b,Unknown,Teichiku Entertainment,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
Virtua Pachi-Slot VI,PS_b,Map Japan,Map Japan,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
Gallop Racer 2000,PS_b,Tecmo,Tecmo,,,,,0.12m,,,0.11m,0.01m,2/17/2000,,0.12,,0.12,0.12,
Azito 3,PS_b,Banpresto,Astec 21,,,,,,,,,,2/17/2000,,#VALUE!,,0,0,
Dance Dance Revolution 2nd Mix: Dreamcast Edtion,DC_b,Konami,Konami,,8.1,,,,,,,,2/17/2000,,#VALUE!,,0,0,
San Goku Shi VII,PC_b,KOEI,Koei/Inis,,,,,,,,,,2/18/2000,,#VALUE!,,0,0,
NBA in the Zone 2000,N64_b,Konami,KCEO,,,,,0.04m,0.04m,,,0.00m,2/18/2000,,0.04,,0.04,0.04,
Pocket Billiard Fank: The 9 Ball,GB_b,Tamsoft,Tamsoft,,,,,,,,,,2/19/2000,,#VALUE!,,0,0,
Trade & Battle: Card Hero,GB_b,Nintendo,Intelligent Systems,,,,,0.20m,,,0.20m,0.00m,2/21/2000,,0.20,,0.20,0.2,
Barbie: Pet Rescue,PC_b,Mattel Interactive,Human Code,,,,,,,,,,2/21/2000,,#VALUE!,,0,0,
Mission: Impossible,GB_b,Infogrames,Rebellion Developments,,,,,,,,,,2/22/2000,,#VALUE!,,0,0,
Fishing Freaks: BassRise for WonderSwan,WS_b,Bandai,Bandai,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Golem no Maigo,DC_b,Caramel Pot,Caramel Pot,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Kaikan Phrase,PS_b,Enix,Produce!,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Karan Koron Gakuen: Doki Doki Hen,PS_b,J-Wing,J-Wing,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Meitantei Conan: Karakuri Jiin Satsujin Jiken,GB_b,Banpresto,Alpha Unit,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Metamode,GB_b,KOEI,Koei,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Ookami Ichio Funtouki: Sakura Wars Kayou Show - Benitokage Yori,DC_b,Sega,Overworks,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Senkaiden,WS_b,Bandai,Bam Entertainment,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Taiyoku Igo: Heisei Kiin,WS_b,Success,Kaga Tech,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Tanjou Debut for WonderSwan,WS_b,Bandai,Bandai Visual,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Utautau: Seirei Songs,PS_b,Enix,Enix Corporation,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
Dangan,PS_b,KSS,Mediamuse,,,,,,,,,,2/24/2000,,#VALUE!,,0,0,
